Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_332,cts,Fast,2270100.0,Slow,1030900.0,Typical,1483900.0
VexiiRiscv_332,placement,Fast,70050000.0,Slow,47365000.0,Typical,57456000.0
VexiiRiscv_332,chipfinish,Fast,2311500.0,Slow,1068000.0,Typical,1536600.0
VexiiRiscv_332,route,Fast,2310800.0,Slow,1067900.0,Typical,1536300.0
VexiiRiscv_332,floorplan,Fast,69541000.0,Slow,46257000.0,Typical,57234000.0
VexiiRiscv_928,cts,Fast,21999000.0,Slow,7002400.0,Typical,13646000.0
VexiiRiscv_928,placement,Fast,83728000.0,Slow,56464000.0,Typical,64606000.0
VexiiRiscv_928,chipfinish,Fast,25561000.0,Slow,7926300.0,Typical,15757000.0
VexiiRiscv_928,route,Fast,25555000.0,Slow,7925000.0,Typical,15754000.0
VexiiRiscv_928,floorplan,Fast,7363700000.0,Slow,72276000.0,Typical,1779500000.0
VexiiRiscv_679,cts,Fast,8675100.0,Slow,2965000.0,Typical,5441500.0
VexiiRiscv_679,placement,Fast,73963000.0,Slow,50116000.0,Typical,59518000.0
VexiiRiscv_679,chipfinish,Fast,9959300.0,Slow,3288800.0,Typical,6179900.0
VexiiRiscv_679,route,Fast,9956900.0,Slow,3288200.0,Typical,6178400.0
VexiiRiscv_679,floorplan,Fast,77000000.0,Slow,47109000.0,Typical,60139000.0
VexiiRiscv_908,cts,Fast,6108600.0,Slow,1969500.0,Typical,3728200.0
VexiiRiscv_908,placement,Fast,71496000.0,Slow,48647000.0,Typical,58140000.0
VexiiRiscv_908,chipfinish,Fast,7046500.0,Slow,2189100.0,Typical,4245300.0
VexiiRiscv_908,route,Fast,7044400.0,Slow,2188700.0,Typical,4244200.0
VexiiRiscv_908,floorplan,Fast,72077000.0,Slow,46495000.0,Typical,58278000.0
VexiiRiscv_820,cts,Fast,20964000.0,Slow,6702100.0,Typical,12962000.0
VexiiRiscv_820,placement,Fast,82837000.0,Slow,55709000.0,Typical,64188000.0
VexiiRiscv_820,chipfinish,Fast,24225000.0,Slow,7549900.0,Typical,14886000.0
VexiiRiscv_820,route,Fast,24219000.0,Slow,7548600.0,Typical,14883000.0
